,radius_mean,texture_mean,perimeter_mean,area_mean,smoothness_mean,compactness_mean,concavity_mean,concave points_mean,symmetry_mean,fractal_dimension_mean,radius_se,texture_se,perimeter_se,area_se,smoothness_se,compactness_se,concavity_se,concave points_se,symmetry_se,fractal_dimension_se,radius_worst,texture_worst,perimeter_worst,area_worst,smoothness_worst,compactness_worst,concavity_worst,concave points_worst,symmetry_worst,fractal_dimension_worst
area_se,0.7372,0.2603,0.7463,0.8015,0.247,0.4565,0.6185,0.6915,0.2244,-0.0903,0.9535,0.1118,0.9393,1.0018,0.0753,0.2853,0.2714,0.4165,0.1343,0.1273,0.7587,0.1968,0.7626,0.8128,0.1256,0.2838,0.3858,0.5391,0.0743,0.0176
smoothness_se,-0.223,0.0066,-0.2031,-0.1671,0.333,0.1355,0.0987,0.0277,0.1877,0.4027,0.1648,0.3979,0.1513,0.0753,1.0018,0.3373,0.2692,0.329,0.4142,0.4281,-0.2311,-0.0749,-0.2177,-0.1825,0.315,-0.0557,-0.0584,-0.1022,-0.1075,0.1017
compactness_se,0.2064,0.1923,0.2512,0.213,0.3195,0.74,0.6715,0.4913,0.4224,0.5608,0.3567,0.2321,0.4171,0.2853,0.3373,1.0018,0.8027,0.7454,0.3954,0.8047,0.205,0.1433,0.261,0.1997,0.2278,0.68,0.6403,0.4841,0.2784,0.592
concavity_se,0.1945,0.1435,0.2285,0.208,0.2488,0.5715,0.6925,0.4399,0.3432,0.4474,0.3329,0.1953,0.3631,0.2714,0.2692,0.8027,1.0018,0.7732,0.31,0.7287,0.1872,0.1004,0.2271,0.1887,0.1688,0.4857,0.6637,0.4412,0.1981,0.4401
concave points_se,0.3768,0.1641,0.4079,0.373,0.3813,0.6434,0.6845,0.6167,0.394,0.3418,0.5143,0.2307,0.5572,0.4165,0.329,0.7454,0.7732,1.0018,0.3133,0.6121,0.3588,0.0869,0.3957,0.3429,0.2157,0.4537,0.5506,0.6035,0.1434,0.3112
symmetry_se,-0.1045,0.0091,-0.0818,-0.0726,0.2011,0.2304,0.1783,0.0955,0.4499,0.3456,0.241,0.4123,0.267,0.1343,0.4142,0.3954,0.31,0.3133,1.0018,0.3697,-0.1283,-0.0776,-0.1039,-0.1105,-0.0127,0.0604,0.0372,-0.0305,0.3901,0.0782
fractal_dimension_se,-0.0427,0.0546,-0.0055,-0.0199,0.2841,0.5082,0.4501,0.258,0.3324,0.6893,0.2282,0.2802,0.2446,0.1273,0.4281,0.8047,0.7287,0.6121,0.3697,1.0018,-0.0376,-0.0032,-0.001,-0.0228,0.1709,0.3908,0.3806,0.2156,0.1113,0.5924
radius_worst,0.9712,0.3532,0.9712,0.9644,0.2135,0.5363,0.6894,0.8318,0.1861,-0.2541,0.7163,-0.1119,0.6984,0.7587,-0.2311,0.205,0.1872,0.3588,-0.1283,-0.0376,1.0018,0.3606,0.9955,0.9857,0.217,0.4767,0.575,0.7888,0.244,0.0937
texture_worst,0.2975,0.9137,0.3036,0.288,0.0361,0.2486,0.3004,0.2933,0.0908,-0.0514,0.1951,0.4097,0.2007,0.1968,-0.0749,0.1433,0.1004,0.0869,-0.0776,-0.0032,0.3606,1.0018,0.3657,0.3465,0.2258,0.3615,0.369,0.3604,0.2334,0.2195
perimeter_worst,0.9668,0.3587,0.9721,0.9608,0.2393,0.5912,0.7308,0.8574,0.2196,-0.2055,0.721,-0.1024,0.7223,0.7626,-0.2177,0.261,0.2271,0.3957,-0.1039,-0.001,0.9955,0.3657,1.0018,0.9793,0.2372,0.5303,0.6194,0.8178,0.27,0.1392
area_worst,0.9427,0.3442,0.9432,0.9609,0.2071,0.5105,0.6772,0.8111,0.1775,-0.2323,0.7529,-0.0833,0.732,0.8128,-0.1825,0.1997,0.1887,0.3429,-0.1105,-0.0228,0.9857,0.3465,0.9793,1.0018,0.2095,0.4391,0.5443,0.7487,0.2095,0.0798
smoothness_worst,0.1198,0.0776,0.1508,0.1237,0.8067,0.5665,0.4496,0.4536,0.4274,0.5058,0.1422,-0.0738,0.1303,0.1256,0.315,0.2278,0.1688,0.2157,-0.0127,0.1709,0.217,0.2258,0.2372,0.2095,1.0018,0.5692,0.5194,0.5487,0.4947,0.6187
compactness_worst,0.4142,0.2783,0.4566,0.3911,0.4733,0.8673,0.7563,0.6686,0.474,0.4596,0.2876,-0.0926,0.3425,0.2838,-0.0557,0.68,0.4857,0.4537,0.0604,0.3908,0.4767,0.3615,0.5303,0.4391,0.5692,1.0018,0.8938,0.8025,0.6155,0.8119
concavity_worst,0.5278,0.3016,0.5649,0.5135,0.4357,0.8177,0.8857,0.7537,0.4345,0.3468,0.3813,-0.0691,0.4196,0.3858,-0.0584,0.6403,0.6637,0.5506,0.0372,0.3806,0.575,0.369,0.6194,0.5443,0.5194,0.8938,1.0018,0.8569,0.5335,0.6877
concave points_worst,0.7455,0.2958,0.7726,0.7233,0.5039,0.817,0.8628,0.9118,0.4311,0.1756,0.532,-0.1198,0.5559,0.5391,-0.1022,0.4841,0.4412,0.6035,-0.0305,0.2156,0.7888,0.3604,0.8178,0.7487,0.5487,0.8025,0.8569,1.0018,0.5034,0.512
symmetry_worst,0.1642,0.1052,0.1894,0.1438,0.395,0.5111,0.4102,0.3764,0.7011,0.3346,0.0947,-0.1284,0.1101,0.0743,-0.1075,0.2784,0.1981,0.1434,0.3901,0.1113,0.244,0.2334,0.27,0.2095,0.4947,0.6155,0.5335,0.5034,1.0018,0.5388
fractal_dimension_worst,0.0071,0.1194,0.0511,0.0037,0.5002,0.6886,0.5158,0.3693,0.4392,0.7686,0.0496,-0.0457,0.0856,0.0176,0.1017,0.592,0.4401,0.3112,0.0782,0.5924,0.0937,0.2195,0.1392,0.0798,0.6187,0.8119,0.6877,0.512,0.5388,1.0018
